epoch,train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,train_roc_auc,val_roc_auc
1,0.0858734680302894,0.03010915411869064,0.9721007604562738,0.9884963023829088,0.9867447444504337,1.0,0.9570579847908746,0.9883546830810181,0.9716746688541993,0.9941432396251674,0.9932948644691807,0.9979407122977244
2,0.021635550092325453,0.037068745819851756,0.9945461026615969,0.9965488907148726,0.9993042059550373,1.0,0.9897813688212928,0.9965064049243054,0.9945199918814694,0.9982501458211815,0.9981203262118867,0.9979766823885939
3,0.022824807686300942,0.027526269979716744,0.993916349809886,0.9947411668036155,0.9963935992357297,1.0,0.991421102661597,0.9946764265513226,0.9939011316259678,0.9973311092577147,0.9981127586960922,0.998214984240604
4,0.01802017536501918,0.02299663484852014,0.995342205323194,0.9965488907148726,0.9969957081545064,1.0,0.9936787072243346,0.9965064049243054,0.9953344441799572,0.9982501458211815,0.998343344573165,0.9978710202466647
5,0.01638272530144494,0.02347789124398029,0.9965541825095057,0.9958915365653246,0.9979505266669844,1.0,0.9951520912547529,0.9958409582432207,0.9965493443754313,0.9979161457030924,0.9983996223244879,0.9988287239160638
6,0.014537579449152682,0.018122083450786402,0.9972671102661597,0.9965488907148726,0.9986179287995044,1.0,0.9959125475285171,0.9965064049243054,0.9972634033743426,0.9982501458211815,0.99849093485024,0.9988646940069331
7,0.014483663993554987,0.02450967619504733,0.9971601711026616,0.9958915365653246,0.9985463384410076,1.0,0.9957699619771863,0.9958409582432207,0.9971562176504885,0.9979161457030924,0.9986897227601057,0.9992828463132905
8,0.013688423834659024,0.022387297458484074,0.9974809885931559,0.9962202136400986,0.999070233156916,1.0,0.995888783269962,0.9961736815837631,0.99747697141361,0.9980831735977999,0.9988675845122093,0.9991794323020409
9,0.013423821315987426,0.021947308756277078,0.9974928707224334,0.9955628594905506,0.9989513072907977,1.0,0.9960313688212927,0.9955082349026784,0.9974892011851922,0.9977490621092122,0.9990011184110656,0.9993840121938607
10,0.012328003606430642,0.022803837737039128,0.9978018060836502,0.9955628594905506,0.9990946129470348,1.0,0.9965066539923955,0.9955082349026784,0.9977989553961285,0.9977490621092122,0.9992012040934161,0.9995413813414147
