Час,Flow ID,Протокол,Пакети,Байти,Прогноз,Ймовірність
20:33:50,91.195.2.124:57088-192.168.1.207:63595-17,17,8,188,DDoS,0.9741
20:34:22,192.168.1.207:65437-104.29.146.247:19307-17,17,274,55470,DDoS,0.9577
20:34:31,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:32,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:33,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:34,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:36,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:37,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:38,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:39,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:40,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:41,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:43,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:44,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:45,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:46,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:47,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:48,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:49,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:50,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:52,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:53,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:54,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:55,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:56,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:57,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:58,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
20:34:59,239.255.255.250:1900-192.168.1.1:1900-17,17,10,3164,DDoS,1.0000
